date,day,volume
2018-11-28,17863,22.698412698412696
2018-11-29,17864,23.818860877684408
2018-11-30,17865,19.144102085278558
2018-12-01,17866,39.45533769063181
2018-12-02,17867,31.356987239340178
2018-12-03,17868,50.0373482726424
2018-12-04,17869,16.476812947401186
2018-12-05,17870,24.170557111733583
2018-12-06,17871,26.162464985994394
2018-12-07,17872,34.456893868658575
2018-12-08,17873,33.22128851540616
2018-12-09,17874,28.266417678182385
2018-12-10,17875,24.400871459694986
2018-12-11,17876,20.622471210706507
2018-12-12,17877,23.653906006847183
2018-12-13,17878,18.48428260192966
2018-12-14,17879,22.28135698723934
2018-12-15,17880,26.20603797074385
2018-12-16,17881,24.347961406784936
2018-12-17,17882,36.66044195455961
2018-12-18,17883,29.576719576719576
2018-12-19,17884,34.6311858076564
2018-12-20,17885,38.23218176159353
2018-12-21,17886,24.939309056956116
2018-12-22,17887,29.931528166822282
2018-12-23,17888,27.5599128540305
2018-12-24,17889,65.6178026766262
2018-12-25,17890,39.64207905384376
2018-12-26,17891,27.864923747276688
2018-12-27,17892,25.869903516962335
2018-12-28,17893,33.320883909119196
2018-12-29,17894,34.49112978524743
2018-12-30,17895,27.60971055088702
2018-12-31,17896,22.272019919078744
2019-01-01,17897,33.75038904450669
2019-01-02,17898,31.929660753190166
2019-01-03,17899,29.144102085278558
2019-01-04,17900,13.495175848117023
2019-01-05,17901,22.01058201058201
2019-01-06,17902,22.103952692187985
2019-01-07,17903,29.07563025210084
2019-01-08,17904,16.258948023653907
2019-01-09,17905,15.985060690943044
2019-01-10,17906,27.310924369747898
2019-01-11,17907,17.055711173358233
2019-01-12,17908,21.73980703392468
2019-01-13,17909,25.614690320572674
2019-01-14,17910,26.91565515094927
2019-01-15,17911,38.80174291938997
2019-01-16,17912,23.53563647681295
2019-01-17,17913,14.715219421101775
2019-01-18,17914,32.66106442577031
2019-01-19,17915,41.87986305633365
