a,k,solar_flux,volume
5,0,67,22.698412698412696
3,2,67,23.81886087768441
3,0,67,19.144102085278558
2,3,68,39.455337690631815
8,2,69,31.356987239340178
12,1,69,50.037348272642404
10,2,67,16.476812947401186
8,1,70,24.170557111733583
5,2,70,26.162464985994397
5,2,69,34.45689386865857
10,3,70,33.22128851540616
10,1,71,28.26641767818239
9,2,71,24.400871459694986
11,2,71,20.622471210706507
7,1,70,23.65390600684718
4,1,70,18.48428260192966
2,1,71,22.28135698723934
3,0,71,26.20603797074385
2,1,72,24.347961406784936
2,2,70,36.66044195455961
6,2,70,29.576719576719576
7,2,70,34.6311858076564
6,2,70,38.23218176159353
12,0,70,24.93930905695612
5,1,70,29.931528166822282
3,1,70,27.5599128540305
4,1,69,65.61780267662621
4,1,69,39.64207905384376
4,1,69,27.86492374727669
3,0,68,25.869903516962328
4,3,70,33.3208839091192
24,3,68,34.49112978524743
11,3,69,27.609710550887016
10,3,69,22.272019919078748
6,1,70,33.75038904450669
6,0,73,31.929660753190173
2,1,74,29.144102085278558
2,3,72,13.495175848117025
9,2,72,22.010582010582013
15,3,72,22.103952692187985
9,2,72,29.07563025210084
7,1,71,16.258948023653907
6,1,70,15.985060690943046
4,2,70,27.310924369747895
8,1,68,17.055711173358233
6,0,68,21.73980703392468
3,0,69,25.614690320572677
3,2,70,26.91565515094927
6,1,69,38.801742919389966
5,2,69,23.53563647681295
6,1,69,14.715219421101775
7,1,69,32.661064425770306
6,0,69,41.87986305633365
